Author,Date,Region,Sentence,Deepseek R1 qwen-8b,p_deepseek_vote,golden_label
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","il risultato di una guerra ben condotta era la vittoria di Troia, un evento che determinava il destino dei soldati. Dall' altra parte, Ajax era un cavaliere valoroso e abile in battaglia, ma non molto intelligente, anzi, mancava di grande saggezza.",2.0,"Quella guerra, se ben fatta, perché ecc. E d'altra parte, Aiace era un cavaliere valoroso e abile in battaglia, di grande prestigio, ma non era dotato di grande buon senso."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e di tutte le colpe prendi vendetta, come dice la legge, e a nessun cavaliere non perdoni quei peccati.",2.0,"Crudele, e punisci tutte le colpe, come dice la legge, e non perdonare a nessun cavaliere che commetta peccato."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non fu ornato da un'altra forza dell'animo Ponzio Aufidiano, cavaliere romano.",3.0,"Ponzio Aufidiano, cavaliere romano, non fu dotato di altra forza d'animo."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo è gradito a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non seguirò più il destino.",3.0,"Se questo va bene a tutti e se la situazione richiede di avere Pompeo come condottiero e non come alleato, non ostacolerò più il destino."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte sembra sia quello di dire appositamente per far credere, e il fine è far credere attraverso il discorso.",2.0,Il compito di quest'arte sembra che sia comunicare apposta per far credere; lo scopo è far credere attraverso le parole.
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, e larghi venti potenti cadono sulle dense nebbie; e potresti credere che tutto il cielo precipitasse in mare.",3.0,"Ecco, grandi acquazzoni cadono dalle nebbie dense, e potresti credere che tutto il cielo cadesse nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però chi spererebbe quel che anche questi, che non vogliono ancora credere in Cristo, già vedono con noi, e perché non possono negarlo, stridono con la bocca.",1.0,"Poiché ora chi spera che persino coloro che non vogliono ancora credere in Cristo, ma che già vengono con noi, e poiché non lo possono negare, stridono con i denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Un re crudele combinò un'inganno nelle vendite dei corpi dei defunti e nelle prezzazioni degli uomini vivi.,2.0,Le vendite dei morti e le oppressioni dei vivi furono opera della frode di un re feroce.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché quella persona, che è ora feroce e onorevole per i suoi grandi reati, sia afflitta e tormentata da ogni male a causa della sua mancanza di pietà verso il mio padre.",2.0,"Affinché colui il quale, ora a causa delle sue grandi colpe, è crudele e gode di alto rango, egli sia afflitto da ogni male e tormentato a causa della sua empietà verso mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini spesso, rimanendo fermi nella bugia, la incontrano.",2.0,"Spesso gli uomini, rimanendo fermi nelle loro mensogne, incontrano la verità."
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, che era uno dei dieci compagni, studiosamente si riservò di parlare all'ultimo.",3.0,"Marco Cornelio, che era uno dei dieci compagni, deliberatamente si riservò di parlare per ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Le cose che io sapevo essere fatte in Italia.,1.0,Cose che io sapevo che erano state fatte in Italia
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, condusse una vita così bassa e viziosa.",3.0,"Corbio, nipote di Ortensio, condusse la sua vita in modo dissoluto e vizioso."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Inoltre, un amante, chiamando Laura alla sua donna, dice molte parole e ragioni, e lei si difende con le sue parole.",2.0,"Allo stesso modo un amante, chiedendo pietà alla sua donna, pronuncia molte parole e argomentazioni, ed ella si difende a suo modo."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo che, essendo arrabbiato, ho colpito la mia donna. Oh, quanti giorni ho perso per questa ira!",2.0,"Io mi ricordo (capitolo 347) che, essendo arrabbiato, strappai i capelli alla mia donna. Oh, quanti giorni questa violenza mi costò!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,colui che tu dovevi dolere perché amante della tua donna.,2.0,"Colui del quale tu eri solito lamentarti, era l'amante della tua donna."
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non conoscevano già i nomi di coloro che erano della congiurazione, perché la donna non li nominava affatto.",2.0,"Ma non sapevano ancora i nomi di coloro appartenenti alla congiura, perché la donna non gli comunicava ancora i nomi."
