Author,Date,Region,Sentence,Mistral 7b-instruction,p_mistral_vote,golden_label
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu bene condotta, ma da una parte, Aiace era un cavaliere francese e valente in battaglia, ma non era molto sagace.",3.0,"Quella guerra, se ben fatta, perché ecc. E d'altra parte, Aiace era un cavaliere valoroso e abile in battaglia, di grande prestigio, ma non era dotato di grande buon senso."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","""Crudele, e di tutte le colpe prende vendetta, come dice la legge, e a nessun cavaliere perdonerai peccati.""",2.0,"Crudele, e punisci tutte le colpe, come dice la legge, e non perdonare a nessun cavaliere che commetta peccato."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","""Ponzio Aufidiano, cavaliere romano, non fu arricchito di altra forza d'animo.""",1.0,"Ponzio Aufidiano, cavaliere romano, non fu dotato di altra forza d'animo."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, io non lo riterrò ancora come destinato.",2.0,"Se questo va bene a tutti e se la situazione richiede di avere Pompeo come condottiero e non come alleato, non ostacolerò più il destino."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","Sembra che questa arte faccia dire appositamente per far credere, il fine è far credere per quanto si dice.",2.0,Il compito di quest'arte sembra che sia comunicare apposta per far credere; lo scopo è far credere attraverso le parole.
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"""Quarantaquattro grandi ventagli cadono delle nebbie decisive; e potresti credere che tutto il cielo cadesse nel mare.""",2.0,"Ecco, grandi acquazzoni cadono dalle nebbie dense, e potresti credere che tutto il cielo cadesse nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","""Ma chi potrebbe sperare di quello che ancora questi non credono in Cristo, lo possono vedere con noi, e perché non possono negare, lo fanno con denti e grida.""",2.0,"Poiché ora chi spera che persino coloro che non vogliono ancora credere in Cristo, ma che già vengono con noi, e poiché non lo possono negare, stridono con i denti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le vendite dei morti e le pressioni dei vivi fecero il tranello di un re ferocio.,3.0,Le vendite dei morti e le oppressioni dei vivi furono opera della frode di un re feroce.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché quelli, il quale ora per le sue grandi reati è ferocissimo e onoroso, egli, da ogni male afflitto e tormentato, mostra impietas verso mio padre.",3.0,"Affinché colui il quale, ora a causa delle sue grandi colpe, è crudele e gode di alto rango, egli sia afflitto da ogni male e tormentato a causa della sua empietà verso mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini, soprattutto, restano fermi nella menzogna incontrano la verità.",2.0,"Spesso gli uomini, rimanendo fermi nelle loro mensogne, incontrano la verità."
